point,longitude,latitude
1,13.76541317,42.81251343
2,13.76535952,42.81273971
3,13.76531392,42.81294828
4,13.76538098,42.81305059
5,13.76543462,42.81285186
6,13.76549095,42.81262165
7,13.7656197,42.81253311
8,13.76556337,42.81276529
9,13.76551241,42.81295811
10,13.76546413,42.81315881
11,13.76560628,42.81308797
12,13.76565456,42.81286957
13,13.76570821,42.81264526
14,13.76584232,42.81255672
15,13.76578867,42.81278103
16,13.76573771,42.81297779
17,13.7656868,42.8131942
18,13.76576453,42.81330933
19,13.7658155,42.81310076
20,13.7658678,42.81290007
21,13.76592949,42.81266002
22,13.76606494,42.81257836
23,13.76600593,42.81279775
24,13.76595765,42.81298664
25,13.76589999,42.81320898
26,13.76608506,42.81292171
27,13.76614004,42.81268757
28,13.7662755,42.81259804
29,13.76621917,42.81281349
30,13.76616821,42.81301025
31,13.76629293,42.81294237
32,13.76635194,42.81270528
33,13.76648739,42.8126128
34,13.7664324,42.81282727
35,13.76637608,42.81302993
